slug,title,template_id,interaction,asset_ref,mood
new-year-love-fireworks,New Year Love Fireworks,template_NewYearLoveFireworks,grow-or-assemble,none,M-FOREST
origami-boat,Origami Boat,template_page-local,letter-or-paper,none,M-DUSK
origami-crane,Origami Crane,template_OrigamiCrane,letter-or-paper,none,M-FIELD
origami,Origami,template_OrigamiHeart,letter-or-paper,none,M-FROST
paper-airplane-messenger,Paper Airplane Messenger,template_PaperAirplaneMessenger,letter-or-paper,none,M-AMBER
passport,Passport,template_page-local,visual-collection,none,M-GOLD
photo-booth,Photo Booth,template_PolaroidPhotoBooth,visual-collection,none,M-NIGHT
photo-puzzle3-d,Photo Puzzle3 D,template_page-local,visual-collection,none,M-BLUSH
pixel-heart-painter,Pixel Heart Painter,template_PixelHeartPainter,reveal,none,M-MONO
polaroid-designer,Polaroid Designer,template_PolaroidDesigner,visual-collection,none,M-SEPIA
promise-tree,Promise Tree,template_SakuraPromiseTree,grow-or-assemble,none,M-ELECT
promise-trio,Promise Trio,template_page-local,message-sequence,none,M-WINE
quiz-duel,Quiz Duel,template_QuizDuel,game-or-puzzle,none,M-PAPER
quiz,Quiz,template_page-local,game-or-puzzle,none,M-DAWN
quote-generator,Quote Generator,template_page-local,audio,none,M-GREY
ring-surprise,Ring Surprise,template_AudioController,reveal,none,M-FOREST
romance-word-jumble,Romance Word Jumble,template_RomanceWordJumble,game-or-puzzle,none,M-DUSK
romantic-audio-player,Romantic Audio Player,template_RomanticAudioPlayer,audio,none,M-FIELD
romantic-charades,Romantic Charades,template_RomanticCharades,guided-interaction,none,M-FROST
romantic-cooking-recipe,Romantic Cooking Recipe,template_RomanticCookingRecipe,guided-interaction,none,M-AMBER
romantic-flower-garden,Romantic Flower Garden,template_RomanticFlowerGarden,grow-or-assemble,none,M-GOLD
romantic-karaoke,Romantic Karaoke,template_page-local,audio,none,M-NIGHT
romantic-locket-changer,Romantic Locket Changer,template_page-local,grow-or-assemble,none,M-BLUSH
romantic-memory-wheel,Romantic Memory Wheel,template_page-local,randomized-choice,none,M-MONO
romantic-message-grid,Romantic Message Grid,template_page-local,message-sequence,none,M-SEPIA
romantic-music-box2,Romantic Music Box2,template_RomanticMusicBox2,audio,none,M-ELECT
romantic-night-sky-writer,Romantic Night Sky Writer,template_RomanticNightSkyWriter,spatial-exploration,none,M-WINE
romantic-petal-rain,Romantic Petal Rain,template_RomanticPetalRain,grow-or-assemble,none,M-PAPER
romantic-photo-slider3-d,Romantic Photo Slider3 D,template_RomanticPhotoSlider3D,visual-collection,none,M-DAWN
romantic-playlist-mixer,Romantic Playlist Mixer,template_RomanticPlaylistMixer,guided-interaction,none,M-GREY
romantic-replacement,Romantic Replacement,template_page-local,randomized-choice,none,M-FOREST
room10,Room10,template_page-local,message-sequence,none,M-DUSK
room11,Room11,template_page-local,audio,none,M-FIELD
room12,Room12,template_page-local,visual-collection,none,M-FROST
room1,Room1,template_page-local,spatial-exploration,none,M-AMBER
room2,Room2,template_page-local,audio,none,M-GOLD
room3,Room3,template_page-local,visual-collection,none,M-NIGHT
room4,Room4,template_page-local,guided-interaction,none,M-BLUSH
room5,Room5,template_page-local,guided-interaction,none,M-MONO
room6,Room6,template_page-local,spatial-exploration,none,M-SEPIA
room7,Room7,template_page-local,letter-or-paper,none,M-ELECT
room8,Room8,template_page-local,spatial-exploration,none,M-WINE
room9,Room9,template_page-local,grow-or-assemble,none,M-PAPER
royal-crown,Royal Crown,template_page-local,audio,none,M-DAWN
sanzu-photo-gallery-grid,Sanzu Photo Gallery Grid,template_SanzuPhotoGalleryGrid,visual-collection,none,M-GREY
scratch-memory,Scratch Memory,template_ScratchMemory,reveal,none,M-FOREST
scratch-surprise,Scratch Surprise,template_ScratchCard,reveal,none,M-DUSK
secret-cipher-wheel,Secret Cipher Wheel,template_page-local,randomized-choice,none,M-FIELD
secret-language,Secret Language,template_page-local,message-sequence,none,M-FROST
secret-vault,Secret Vault,template_page-local,guided-interaction,none,M-AMBER
secret-vault-second,Secret Vault Second,template_page-local,message-sequence,none,M-GOLD
snow-globe-shaker,Snow Globe Shaker,template_SnowGlobeShaker,spatial-exploration,none,M-NIGHT
sound-wave,Sound Wave,template_page-local,message-sequence,none,M-BLUSH
spin-wheel,Spin Wheel,template_page-local,randomized-choice,none,M-MONO
star-drawer,Star Drawer,template_StarDrawer,spatial-exploration,none,M-SEPIA
star-namer,Star Namer,template_page-local,message-sequence,none,M-ELECT
star-projector,Star Projector,template_StarProjector,spatial-exploration,none,M-WINE
starry-night-skywriter,Starry Night Skywriter,template_StarryNightSkywriter,spatial-exploration,none,M-PAPER
stars,Stars,template_page-local,randomized-choice,none,M-DAWN
story,Story,template_page-local,game-or-puzzle,none,M-GREY
surprise,Surprise,template_FinaleSection,guided-interaction,none,M-FOREST
sweet-compliments-fountain,Sweet Compliments Fountain,template_SweetComplimentsFountain,guided-interaction,none,M-DUSK
sweet-compliments,Sweet Compliments,template_page-local,message-sequence,none,M-FIELD
sweet-dessert-tower,Sweet Dessert Tower,template_SweetDessertTower,guided-interaction,none,M-FROST
sweet-dream-catcher,Sweet Dream Catcher,template_SweetDreamCatcher,guided-interaction,none,M-AMBER
sweet-garden-blooms,Sweet Garden Blooms,template_SweetGardenBlooms,grow-or-assemble,none,M-GOLD
sweet-heart-balloon-ascent,Sweet Heart Balloon Ascent,template_SweetHeartBalloonAscent,guided-interaction,none,M-NIGHT
sweet-memory-scrapbook,Sweet Memory Scrapbook,template_SweetMemoryScrapbook,guided-interaction,none,M-BLUSH
sweet-promises-jar,Sweet Promises Jar,template_SweetPromisesJar,guided-interaction,none,M-MONO
sweet-proposal-simulator,Sweet Proposal Simulator,template_page-local,guided-interaction,none,M-SEPIA
sweet-tea-ceremony,Sweet Tea Ceremony,template_SweetTeaCeremony,guided-interaction,none,M-ELECT
sweet-voicemail-inbox,Sweet Voicemail Inbox,template_SweetVoicemailInbox,message-sequence,none,M-WINE
tic-tac-toe,Tic Tac Toe,template_LoveTicTacToe,guided-interaction,none,M-PAPER
time-capsule,Time Capsule,template_OpenWhenLetters,letter-or-paper,none,M-DAWN
timeline-puzzle,Timeline Puzzle,template_page-local,time-reveal,none,M-GREY
treasure-chest,Treasure Chest,template_page-local,visual-collection,none,M-FOREST
two-truths,Two Truths,template_TwoTruthsGame,game-or-puzzle,none,M-DUSK
ultimate300th-love-coronation,Ultimate300th Love Coronation,template_Ultimate300thLoveCoronation,guided-interaction,none,M-FIELD
